"model","condition","bleu_mean","bleu_std","chrfpp_mean","chrfpp_std","n"
"Gemini-2.5 (fine-tuned, seed 42)","RANDOM-10K","2.4305","","20.1908","","1"
"Gemini-2.5 (fine-tuned, seed 42)","RANDOM-6K_STRUCTURED-4K","14.2247","","30.5390","","1"
