model,run,condition,seed,subset,n_samples,bleu,chrf,chrfpp,ref_mode,alt_ref_rows_used,source_file
mbart-fr,exp2,RANDOM-6K_STRUCTURED-500,123,tatoeba,1000,2.2,23.76,21.27,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-6K_STRUCTURED-500/seed123/test_predictions.jsonl
mbart-fr,exp2,RANDOM-6K_STRUCTURED-500,2024,combined,1455,17.78,35.66,33.87,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-6K_STRUCTURED-500/seed2024/test_predictions.jsonl
mbart-fr,exp2,RANDOM-6K_STRUCTURED-500,2024,structured,455,65.59,80.29,78.83,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-6K_STRUCTURED-500/seed2024/test_predictions.jsonl
mbart-fr,exp2,RANDOM-6K_STRUCTURED-500,2024,tatoeba,1000,2.47,23.99,21.54,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-6K_STRUCTURED-500/seed2024/test_predictions.jsonl
mbart-fr,exp2,RANDOM-6K_STRUCTURED-500,42,combined,1455,17.1,35.55,33.71,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-6K_STRUCTURED-500/seed42/test_predictions.jsonl
mbart-fr,exp2,RANDOM-6K_STRUCTURED-500,42,structured,455,62.21,79.08,77.35,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-6K_STRUCTURED-500/seed42/test_predictions.jsonl
mbart-fr,exp2,RANDOM-6K_STRUCTURED-500,42,tatoeba,1000,2.42,24.17,21.72,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-6K_STRUCTURED-500/seed42/test_predictions.jsonl
mbart-fr,exp2,RANDOM-6K_STRUCTURED-500,456,combined,1455,18.04,36.14,34.37,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-6K_STRUCTURED-500/seed456/test_predictions.jsonl
mbart-fr,exp2,RANDOM-6K_STRUCTURED-500,456,structured,455,66.14,81.85,80.41,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-6K_STRUCTURED-500/seed456/test_predictions.jsonl
mbart-fr,exp2,RANDOM-6K_STRUCTURED-500,456,tatoeba,1000,2.35,24.23,21.76,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-6K_STRUCTURED-500/seed456/test_predictions.jsonl
mbart-fr,exp2,RANDOM-6K_STRUCTURED-500,789,combined,1455,17.92,35.88,34.1,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-6K_STRUCTURED-500/seed789/test_predictions.jsonl
mbart-fr,exp2,RANDOM-6K_STRUCTURED-500,789,structured,455,64.7,79.86,78.18,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-6K_STRUCTURED-500/seed789/test_predictions.jsonl
mbart-fr,exp2,RANDOM-6K_STRUCTURED-500,789,tatoeba,1000,2.9,24.38,22.01,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-6K_STRUCTURED-500/seed789/test_predictions.jsonl
mbart-fr,exp2,RANDOM-8000,123,combined,1455,2.52,26.35,23.37,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-8000/seed123/test_predictions.jsonl
mbart-fr,exp2,RANDOM-8000,123,structured,455,3.21,34.02,29.2,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-8000/seed123/test_predictions.jsonl
mbart-fr,exp2,RANDOM-8000,123,tatoeba,1000,2.34,24.3,21.81,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-8000/seed123/test_predictions.jsonl
mbart-fr,exp2,RANDOM-8000,2024,combined,1455,3.03,27.1,24.2,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-8000/seed2024/test_predictions.jsonl
mbart-fr,exp2,RANDOM-8000,2024,structured,455,3.3,33.73,29.21,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-8000/seed2024/test_predictions.jsonl
mbart-fr,exp2,RANDOM-8000,2024,tatoeba,1000,2.96,25.34,22.88,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-8000/seed2024/test_predictions.jsonl
mbart-fr,exp2,RANDOM-8000,42,combined,1455,3.29,26.33,23.43,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-8000/seed42/test_predictions.jsonl
mbart-fr,exp2,RANDOM-8000,42,structured,455,5.02,33.32,29.27,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-8000/seed42/test_predictions.jsonl
mbart-fr,exp2,RANDOM-8000,42,tatoeba,1000,2.84,24.48,21.86,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-8000/seed42/test_predictions.jsonl
mbart-fr,exp2,RANDOM-8000,456,combined,1455,3.45,26.85,24.01,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-8000/seed456/test_predictions.jsonl
mbart-fr,exp2,RANDOM-8000,456,structured,455,4.24,33.44,29.01,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-8000/seed456/test_predictions.jsonl
mbart-fr,exp2,RANDOM-8000,456,tatoeba,1000,3.25,25.09,22.67,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-8000/seed456/test_predictions.jsonl
mbart-fr,exp2,RANDOM-8000,789,combined,1455,3.07,26.76,23.75,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-8000/seed789/test_predictions.jsonl
mbart-fr,exp2,RANDOM-8000,789,structured,455,4.53,34.88,30.23,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-8000/seed789/test_predictions.jsonl
mbart-fr,exp2,RANDOM-8000,789,tatoeba,1000,2.68,24.62,22.03,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/RANDOM-8000/seed789/test_predictions.jsonl
mbart-fr,exp2,REPLACE-R9000_S1000,42,combined,1455,20.21,37.72,36.15,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/REPLACE-R9000_S1000/seed42/test_predictions.jsonl
mbart-fr,exp2,REPLACE-R9000_S1000,42,structured,455,75.38,86.18,85.46,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/REPLACE-R9000_S1000/seed42/test_predictions.jsonl
mbart-fr,exp2,REPLACE-R9000_S1000,42,tatoeba,1000,2.62,25.12,22.69,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/REPLACE-R9000_S1000/seed42/test_predictions.jsonl
mbart-fr,exp2,REPLACE-R9500_S500,123,combined,1455,17.11,36.39,34.44,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/REPLACE-R9500_S500/seed123/test_predictions.jsonl
mbart-fr,exp2,REPLACE-R9500_S500,123,structured,455,62.23,78.47,76.99,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/REPLACE-R9500_S500/seed123/test_predictions.jsonl
mbart-fr,exp2,REPLACE-R9500_S500,123,tatoeba,1000,3.12,25.51,22.86,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/REPLACE-R9500_S500/seed123/test_predictions.jsonl
mbart-fr,exp2,REPLACE-R9500_S500,2024,combined,1455,18.86,36.74,35.06,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/REPLACE-R9500_S500/seed2024/test_predictions.jsonl
mbart-fr,exp2,REPLACE-R9500_S500,2024,structured,455,68.1,81.85,80.83,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/REPLACE-R9500_S500/seed2024/test_predictions.jsonl
mbart-fr,exp2,REPLACE-R9500_S500,2024,tatoeba,1000,2.96,24.91,22.45,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/REPLACE-R9500_S500/seed2024/test_predictions.jsonl
mbart-fr,exp2,REPLACE-R9500_S500,42,combined,1455,16.76,35.79,33.82,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/REPLACE-R9500_S500/seed42/test_predictions.jsonl
mbart-fr,exp2,REPLACE-R9500_S500,42,structured,455,61.23,77.58,75.99,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/REPLACE-R9500_S500/seed42/test_predictions.jsonl
mbart-fr,exp2,REPLACE-R9500_S500,42,tatoeba,1000,3.0,24.93,22.31,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/REPLACE-R9500_S500/seed42/test_predictions.jsonl
mbart-fr,exp2,REPLACE-R9500_S500,456,combined,1455,16.07,36.59,34.36,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/REPLACE-R9500_S500/seed456/test_predictions.jsonl
mbart-fr,exp2,REPLACE-R9500_S500,456,structured,455,58.34,77.95,75.97,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/REPLACE-R9500_S500/seed456/test_predictions.jsonl
mbart-fr,exp2,REPLACE-R9500_S500,456,tatoeba,1000,2.56,25.81,22.98,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/REPLACE-R9500_S500/seed456/test_predictions.jsonl
mbart-fr,exp2,REPLACE-R9500_S500,789,combined,1455,16.26,35.26,33.3,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/REPLACE-R9500_S500/seed789/test_predictions.jsonl
mbart-fr,exp2,REPLACE-R9500_S500,789,structured,455,59.42,75.06,73.77,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/REPLACE-R9500_S500/seed789/test_predictions.jsonl
mbart-fr,exp2,REPLACE-R9500_S500,789,tatoeba,1000,2.7,24.88,22.18,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/REPLACE-R9500_S500/seed789/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-1000,123,combined,1455,22.38,27.69,27.57,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-1000/seed123/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-1000,123,structured,455,89.63,93.52,93.33,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-1000/seed123/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-1000,123,tatoeba,1000,0.29,8.67,7.83,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-1000/seed123/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-1000,2024,combined,1455,21.68,27.32,27.05,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-1000/seed2024/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-1000,2024,structured,455,87.42,92.27,91.84,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-1000/seed2024/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-1000,2024,tatoeba,1000,0.27,8.71,7.72,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-1000/seed2024/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-1000,42,combined,1455,21.89,27.63,27.37,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-1000/seed42/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-1000,42,structured,455,88.22,93.52,93.05,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-1000/seed42/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-1000,42,tatoeba,1000,0.36,8.66,7.74,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-1000/seed42/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-1000,456,combined,1455,21.65,27.7,27.37,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-1000/seed456/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-1000,456,structured,455,86.57,92.37,91.86,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-1000/seed456/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-1000,456,tatoeba,1000,0.23,9.31,8.25,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-1000/seed456/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-1000,789,combined,1455,21.9,27.25,27.08,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-1000/seed789/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-1000,789,structured,455,87.03,91.41,91.17,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-1000/seed789/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-1000,789,tatoeba,1000,0.3,8.76,7.85,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-1000/seed789/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-200,123,combined,1455,8.72,18.29,17.68,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-200/seed123/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-200,123,structured,455,34.52,52.06,51.32,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-200/seed123/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-200,123,tatoeba,1000,0.23,8.93,7.9,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-200/seed123/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-200,2024,combined,1455,8.42,17.4,17.22,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-200/seed2024/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-200,2024,structured,455,33.39,48.61,48.27,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-200/seed2024/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-200,2024,tatoeba,1000,0.26,8.82,8.33,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-200/seed2024/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-200,42,combined,1455,9.15,17.61,17.25,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-200/seed42/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-200,42,structured,455,36.34,49.94,49.62,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-200/seed42/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-200,42,tatoeba,1000,0.32,8.65,7.87,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-200/seed42/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-200,456,combined,1455,5.45,14.65,14.26,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-200/seed456/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-200,456,structured,455,21.39,38.2,37.44,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-200/seed456/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-200,456,tatoeba,1000,0.34,8.11,7.57,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-200/seed456/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-200,789,combined,1455,9.51,18.7,17.96,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-200/seed789/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-200,789,structured,455,36.69,53.21,52.33,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-200/seed789/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-200,789,tatoeba,1000,0.31,8.88,7.76,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-200/seed789/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-2000,123,combined,1455,22.84,28.25,27.99,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-2000/seed123/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-2000,123,structured,455,92.72,95.84,95.67,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-2000/seed123/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-2000,123,tatoeba,1000,0.31,8.86,7.8,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-2000/seed123/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-2000,2024,combined,1455,23.11,28.03,27.86,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-2000/seed2024/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-2000,2024,structured,455,92.79,95.58,95.5,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-2000/seed2024/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-2000,2024,tatoeba,1000,0.24,8.46,7.49,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-2000/seed2024/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-2000,42,combined,1455,22.75,28.34,28.11,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-2000/seed42/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-2000,42,structured,455,92.8,95.57,95.44,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-2000/seed42/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-2000,42,tatoeba,1000,0.38,9.3,8.27,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-2000/seed42/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-2000,456,combined,1455,23.09,28.41,28.2,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-2000/seed456/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-2000,456,structured,455,92.31,96.0,95.71,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-2000/seed456/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-2000,456,tatoeba,1000,0.36,9.12,8.12,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-2000/seed456/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-2000,789,combined,1455,23.09,28.11,27.97,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-2000/seed789/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-2000,789,structured,455,92.94,95.25,95.21,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-2000/seed789/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-2000,789,tatoeba,1000,0.32,8.79,7.84,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-2000/seed789/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-3000,123,combined,1455,23.32,28.0,27.85,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-3000/seed123/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-3000,123,structured,455,93.49,95.82,95.81,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-3000/seed123/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-3000,123,tatoeba,1000,0.28,8.43,7.43,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-3000/seed123/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-3000,2024,combined,1455,23.3,28.4,28.16,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-3000/seed2024/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-3000,2024,structured,455,94.27,96.73,96.56,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-3000/seed2024/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-3000,2024,tatoeba,1000,0.23,8.81,7.75,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-3000/seed2024/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-3000,42,combined,1455,23.01,28.22,28.04,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-3000/seed42/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-3000,42,structured,455,93.3,95.65,95.61,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-3000/seed42/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-3000,42,tatoeba,1000,0.24,8.99,7.99,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-3000/seed42/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-3000,456,combined,1455,22.6,27.9,27.67,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-3000/seed456/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-3000,456,structured,455,92.61,95.59,95.44,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-3000/seed456/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-3000,456,tatoeba,1000,0.23,8.58,7.56,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-3000/seed456/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-3000,789,combined,1455,21.5,26.53,26.48,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-3000/seed789/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-3000,789,structured,455,87.25,90.65,90.64,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-3000/seed789/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-3000,789,tatoeba,1000,0.41,8.15,7.37,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-3000/seed789/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-4000,123,combined,1455,22.15,27.77,27.58,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-4000/seed123/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-4000,123,structured,455,89.42,94.54,94.18,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-4000/seed123/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-4000,123,tatoeba,1000,0.34,8.51,7.64,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-4000/seed123/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-4000,2024,combined,1455,22.62,28.21,27.91,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-4000/seed2024/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-4000,2024,structured,455,91.83,95.73,95.48,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-4000/seed2024/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-4000,2024,tatoeba,1000,0.31,9.12,7.99,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-4000/seed2024/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-4000,42,combined,1455,22.65,28.33,28.07,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-4000/seed42/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-4000,42,structured,455,93.13,95.61,95.59,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-4000/seed42/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-4000,42,tatoeba,1000,0.34,9.35,8.25,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-4000/seed42/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-4000,456,combined,1455,23.26,28.46,28.23,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-4000/seed456/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-4000,456,structured,455,93.54,96.15,96.09,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-4000/seed456/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-4000,456,tatoeba,1000,0.38,9.13,8.04,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-4000/seed456/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-4000,789,combined,1455,22.59,27.98,27.7,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-4000/seed789/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-4000,789,structured,455,90.21,94.66,94.31,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-4000/seed789/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-4000,789,tatoeba,1000,0.29,8.84,7.78,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-4000/seed789/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-500,123,combined,1455,17.63,24.6,24.16,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-500/seed123/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-500,123,structured,455,70.91,81.25,80.54,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-500/seed123/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-500,123,tatoeba,1000,0.22,8.42,7.36,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-500/seed123/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-500,2024,combined,1455,18.39,25.75,25.39,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-500/seed2024/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-500,2024,structured,455,74.2,84.22,83.67,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-500/seed2024/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-500,2024,tatoeba,1000,0.17,9.11,8.16,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-500/seed2024/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-500,42,combined,1455,17.28,24.22,23.84,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-500/seed42/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-500,42,structured,455,69.92,79.73,79.16,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-500/seed42/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-500,42,tatoeba,1000,0.23,8.43,7.44,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-500/seed42/test_predictions.jsonl
mbart-fr,exp2,STRUCTURED-500,456,combined,1455,18.44,25.76,25.23,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp2/STRUCTURED-500/seed456/test_predictions.jsonl
