model,run,condition,seed,subset,n_samples,bleu,chrf,chrfpp,ref_mode,alt_ref_rows_used,source_file
mbart-fr,baselines,TF-IDF-DIVERSE,456,combined,1455,1.34,19.4,17.27,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/TF-IDF-DIVERSE/seed456/test_predictions.jsonl
mbart-fr,baselines,TF-IDF-DIVERSE,456,structured,455,1.57,21.91,19.26,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/TF-IDF-DIVERSE/seed456/test_predictions.jsonl
mbart-fr,baselines,TF-IDF-DIVERSE,456,tatoeba,1000,1.24,18.72,16.72,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/TF-IDF-DIVERSE/seed456/test_predictions.jsonl
mbart-fr,baselines,TF-IDF-DIVERSE,789,combined,1455,1.19,19.2,17.26,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/TF-IDF-DIVERSE/seed789/test_predictions.jsonl
mbart-fr,baselines,TF-IDF-DIVERSE,789,structured,455,1.32,22.67,20.05,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/TF-IDF-DIVERSE/seed789/test_predictions.jsonl
mbart-fr,baselines,TF-IDF-DIVERSE,789,tatoeba,1000,1.2,18.26,16.5,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/TF-IDF-DIVERSE/seed789/test_predictions.jsonl
mbart-fr,baselines,VOCAB-MAXIMIZED,123,combined,1455,1.2,20.22,17.96,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/VOCAB-MAXIMIZED/seed123/test_predictions.jsonl
mbart-fr,baselines,VOCAB-MAXIMIZED,123,structured,455,0.94,23.11,20.25,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/VOCAB-MAXIMIZED/seed123/test_predictions.jsonl
mbart-fr,baselines,VOCAB-MAXIMIZED,123,tatoeba,1000,1.27,19.42,17.32,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/VOCAB-MAXIMIZED/seed123/test_predictions.jsonl
mbart-fr,baselines,VOCAB-MAXIMIZED,2024,combined,1455,1.99,19.97,17.86,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/VOCAB-MAXIMIZED/seed2024/test_predictions.jsonl
mbart-fr,baselines,VOCAB-MAXIMIZED,2024,structured,455,3.76,23.97,21.16,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/VOCAB-MAXIMIZED/seed2024/test_predictions.jsonl
mbart-fr,baselines,VOCAB-MAXIMIZED,2024,tatoeba,1000,1.28,18.86,16.93,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/VOCAB-MAXIMIZED/seed2024/test_predictions.jsonl
mbart-fr,baselines,VOCAB-MAXIMIZED,42,combined,1455,1.39,19.49,17.35,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/VOCAB-MAXIMIZED/seed42/test_predictions.jsonl
mbart-fr,baselines,VOCAB-MAXIMIZED,42,structured,455,1.32,22.23,19.62,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/VOCAB-MAXIMIZED/seed42/test_predictions.jsonl
mbart-fr,baselines,VOCAB-MAXIMIZED,42,tatoeba,1000,1.41,18.75,16.73,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/VOCAB-MAXIMIZED/seed42/test_predictions.jsonl
mbart-fr,baselines,VOCAB-MAXIMIZED,456,combined,1455,1.24,19.47,17.32,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/VOCAB-MAXIMIZED/seed456/test_predictions.jsonl
mbart-fr,baselines,VOCAB-MAXIMIZED,456,structured,455,1.66,22.68,20.07,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/VOCAB-MAXIMIZED/seed456/test_predictions.jsonl
mbart-fr,baselines,VOCAB-MAXIMIZED,456,tatoeba,1000,1.12,18.6,16.56,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/VOCAB-MAXIMIZED/seed456/test_predictions.jsonl
mbart-fr,baselines,VOCAB-MAXIMIZED,789,combined,1455,1.21,18.67,16.76,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/VOCAB-MAXIMIZED/seed789/test_predictions.jsonl
mbart-fr,baselines,VOCAB-MAXIMIZED,789,structured,455,1.18,20.22,17.99,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/VOCAB-MAXIMIZED/seed789/test_predictions.jsonl
mbart-fr,baselines,VOCAB-MAXIMIZED,789,tatoeba,1000,1.26,18.26,16.43,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/baselines/VOCAB-MAXIMIZED/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,123,combined,1455,2.52,26.35,23.37,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,123,structured,455,3.21,34.02,29.2,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,123,tatoeba,1000,2.34,24.3,21.81,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,2024,combined,1455,3.03,27.1,24.2,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,2024,structured,455,3.3,33.73,29.21,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K/seed2024/test_predictions.jsonl
