experiment,condition,seed,model,train_size,test_bleu,test_chrf,test_chrfpp,test_ter,training_time_seconds,actual_epochs,test_n_samples
ablations/module_size_ctrl,FULL-1K,123,facebook/nllb-200-distilled-600M,759,19.923830438883684,28.560392854398213,28.03380595565837,80.74698795180723,1309.479323387146,,1455
ablations/module_size_ctrl,FULL-1K,42,facebook/nllb-200-distilled-600M,759,20.485461702679352,29.34212645624238,28.97370319521995,79.144578313253,1332.7914118766785,,1455
ablations/module_size_ctrl,FULL-1K,456,facebook/nllb-200-distilled-600M,759,18.870973686463028,28.86454806800389,28.30112924997725,87.37349397590361,1336.4242022037506,,1455
ablations/module_size_ctrl,NO-FUT-1K,123,facebook/nllb-200-distilled-600M,900,17.848361966412927,27.517788366799813,26.907295324516546,85.27710843373494,1573.1369783878326,,1455
ablations/module_size_ctrl,NO-FUT-1K,42,facebook/nllb-200-distilled-600M,763,15.775424449099535,27.170103171852755,26.29611421011344,85.63855421686746,1371.9524266719818,,1455
ablations/module_size_ctrl,NO-FUT-1K,456,facebook/nllb-200-distilled-600M,763,15.853674009550296,26.899290903931846,26.22694618208413,84.1566265060241,1341.2989263534546,,1455
ablations/module_size_ctrl,NO-NEG-1K,123,facebook/nllb-200-distilled-600M,769,17.339635791535326,27.568571990947316,26.908574841144617,86.63855421686748,1355.9697122573853,,1455
ablations/module_size_ctrl,NO-NEG-1K,42,facebook/nllb-200-distilled-600M,769,17.37778391388847,27.784702081465777,27.138140593206657,83.7710843373494,1359.7093710899353,,1455
ablations/module_size_ctrl,NO-NEG-1K,456,facebook/nllb-200-distilled-600M,769,11.731628798523369,26.39614819936686,25.68378501608926,120.83132530120481,1350.7004988193512,,1455
ablations/module_size_ctrl,NO-PAST-1K,123,facebook/nllb-200-distilled-600M,761,17.15727356442863,27.02619366990062,26.461826449786674,86.92771084337349,1418.8270180225372,,1455
ablations/module_size_ctrl,NO-PAST-1K,42,facebook/nllb-200-distilled-600M,761,14.368846466610462,26.29571588345983,25.824198170712254,98.6867469879518,1335.202617406845,,1455
ablations/module_size_ctrl,NO-PAST-1K,456,facebook/nllb-200-distilled-600M,761,18.24979910778378,27.663012792800668,27.121245200146372,80.46987951807229,1327.1030943393707,,1455
ablations/module_size_ctrl,NO-QUEST-1K,123,facebook/nllb-200-distilled-600M,751,15.58030301797092,27.35751573979572,26.080542180457556,88.97590361445783,1306.8019082546234,,1455
ablations/module_size_ctrl,NO-QUEST-1K,42,facebook/nllb-200-distilled-600M,751,16.29578904460897,27.230248654248385,25.921879726802132,83.74698795180723,1302.2083585262299,,1455
ablations/module_size_ctrl,NO-QUEST-1K,456,facebook/nllb-200-distilled-600M,751,16.132473386933395,27.37256516913827,26.06237198589977,83.87951807228916,1298.158061504364,,1455
ablations/pronoun,ALL-8,123,facebook/nllb-200-distilled-600M,3410,21.98606725226228,29.118924212523527,28.731378147765664,81.73493975903614,4205.682153463364,,1455
ablations/pronoun,ALL-8,42,facebook/nllb-200-distilled-600M,3410,21.675622000808385,29.23131623235871,28.80525365919247,85.59036144578313,3428.5486710071564,,1455
ablations/pronoun,ALL-8,456,facebook/nllb-200-distilled-600M,3410,21.08242007338709,29.145310016444082,28.73277829184976,86.02409638554217,3020.7428543567657,,1455
ablations/pronoun,MINIMAL-1,123,facebook/nllb-200-distilled-600M,346,7.202527389563017,21.877638233432506,20.961948699972854,123.1566265060241,566.4178075790405,,1455
ablations/pronoun,MINIMAL-1,42,facebook/nllb-200-distilled-600M,346,4.430308182239397,19.425980727420978,18.593936167550947,177.5421686746988,577.1206629276276,,1455
ablations/pronoun,MINIMAL-1,456,facebook/nllb-200-distilled-600M,346,7.919624418670309,21.440704558929944,20.646575570640564,117.46987951807229,570.3934352397919,,1455
ablations/pronoun,REDUCED-4,123,facebook/nllb-200-distilled-600M,1704,20.8510934607764,29.490523643129873,29.210524662115677,83.3855421686747,3060.638282060623,,1455
ablations/pronoun,REDUCED-4,42,facebook/nllb-200-distilled-600M,1704,20.611947220200754,29.249466336384238,28.862265201014754,87.71084337349397,2352.9746701717377,,1455
ablations/pronoun,REDUCED-4,456,facebook/nllb-200-distilled-600M,1704,20.963419149374445,29.354591054653323,29.084769434261105,85.25301204819277,2443.2207474708557,,1455
ablations/pronoun,SINGULAR-3,123,facebook/nllb-200-distilled-600M,1228,20.133214370734933,29.396644562437306,28.685594519178633,85.48192771084338,2200.722536802292,,1455
ablations/pronoun,SINGULAR-3,42,facebook/nllb-200-distilled-600M,1228,19.910884654923898,28.583672851662683,27.871324470955823,84.42168674698796,2269.4464886188507,,1455
ablations/pronoun,SINGULAR-3,456,facebook/nllb-200-distilled-600M,1228,19.80827380098937,28.835732751014838,28.08234392573069,86.73493975903614,2298.464047193527,,1455
ablations/verb,1-VERB,123,facebook/nllb-200-distilled-600M,190,3.035536354037417,14.446801825898763,13.536710431606174,115.71084337349397,287.672523021698,,1455
ablations/verb,1-VERB,42,facebook/nllb-200-distilled-600M,190,2.9821196879547425,14.240064971981772,13.314793636251467,114.98795180722891,295.4358413219452,,1455
ablations/verb,1-VERB,456,facebook/nllb-200-distilled-600M,190,3.1690677393023474,14.397559977609811,13.49020460558685,108.4698795180723,294.47104120254517,,1455
ablations/verb,10-VERBS,123,facebook/nllb-200-distilled-600M,3410,21.98606725226228,29.118924212523527,28.731378147765664,81.73493975903614,4294.387665987015,,1455
ablations/verb,10-VERBS,42,facebook/nllb-200-distilled-600M,3410,21.675622000808385,29.23131623235871,28.80525365919247,85.59036144578313,3409.292439222336,,1455
ablations/verb,10-VERBS,456,facebook/nllb-200-distilled-600M,3410,21.08242007338709,29.145310016444082,28.73277829184976,86.02409638554217,3026.359800338745,,1455
ablations/verb,3-VERBS-a,123,facebook/nllb-200-distilled-600M,595,3.8028506606560715,15.124685784795174,14.383452294275925,101.30120481927712,973.0673699378967,,1455
ablations/verb,3-VERBS-a,42,facebook/nllb-200-distilled-600M,595,3.755110348399647,14.623323480033134,14.017944900183373,98.3132530120482,986.9799315929413,,1455
ablations/verb,3-VERBS-a,456,facebook/nllb-200-distilled-600M,595,3.4243507083615263,15.791568643963375,14.828690816508065,108.19277108433735,959.1190993785858,,1455
ablations/verb,3-VERBS-b,123,facebook/nllb-200-distilled-600M,475,5.5294209654329425,15.877392603313172,15.066008834234273,106.0,741.3395426273346,,1455
ablations/verb,3-VERBS-b,42,facebook/nllb-200-distilled-600M,475,4.883096307382564,15.794662834908483,14.917331330382034,111.00000000000001,764.7234275341034,,1455
ablations/verb,3-VERBS-b,456,facebook/nllb-200-distilled-600M,475,5.4578786345032535,13.467470341248266,12.932187892092683,116.75903614457832,773.185341835022,,1455
ablations/verb,3-VERBS-c,123,facebook/nllb-200-distilled-600M,516,4.547767950585191,14.57860383916463,14.407173715873883,108.90361445783132,859.0463652610779,,1455
ablations/verb,3-VERBS-c,42,facebook/nllb-200-distilled-600M,516,4.91437419992961,14.868002434388814,14.499364842920452,113.9156626506024,893.893495798111,,1455
ablations/verb,3-VERBS-c,456,facebook/nllb-200-distilled-600M,516,4.5297796530197125,15.092149413470695,14.696836875986715,109.63855421686748,895.4009437561035,,1455
ablations/verb,5-VERBS-a,123,facebook/nllb-200-distilled-600M,854,8.490441382435147,17.90055356822993,17.670155776939556,93.36144578313254,1475.6013691425323,,1455
ablations/verb,5-VERBS-a,42,facebook/nllb-200-distilled-600M,854,6.501522598424715,17.520571187834065,17.113903761008604,120.84337349397592,1435.7768244743347,,1455
ablations/verb,5-VERBS-a,456,facebook/nllb-200-distilled-600M,854,7.770266242969526,17.873813309255432,17.43426648780228,105.25301204819277,1477.1079864501953,,1455
ablations/verb,5-VERBS-b,123,facebook/nllb-200-distilled-600M,841,8.08694364831656,17.82120738137553,17.927023056921605,103.90361445783131,1418.3496973514557,,1455
ablations/verb,5-VERBS-b,42,facebook/nllb-200-distilled-600M,841,9.04079714289144,18.128904191620272,17.894745645259817,95.66265060240964,1432.2210404872894,,1455
ablations/verb,5-VERBS-b,456,facebook/nllb-200-distilled-600M,841,9.122576922194582,17.87061645966558,17.665881555250955,93.74698795180723,1411.1105861663818,,1455
ablations/verb,5-VERBS-c,123,facebook/nllb-200-distilled-600M,802,6.350511999381044,15.764236025630682,15.203018175343288,119.22891566265059,1357.2963376045227,,1455
ablations/verb,5-VERBS-c,42,facebook/nllb-200-distilled-600M,802,7.542556943366318,17.058722576558825,16.59539781056571,95.75903614457832,1359.5280225276947,,1455
ablations/verb,5-VERBS-c,456,facebook/nllb-200-distilled-600M,802,6.038606093901444,15.80439542460515,15.303370358406054,124.93975903614458,1341.4924550056458,,1455
baselines,LENGTH-STRATIFIED,123,facebook/nllb-200-distilled-600M,1608,3.4168667347277584,25.2895529520346,22.789034040990238,98.4578313253012,4454.745044469833,,1455
