experiment,condition,seed,model,train_size,test_bleu,test_chrf,test_chrfpp,test_ter,training_time_seconds,actual_epochs,test_n_samples
ablations/module_size_ctrl,NO-FUT-1K,123,facebook/nllb-200-distilled-600M,900,17.848361966412927,27.517788366799813,26.907295324516546,85.27710843373494,1573.1369783878326,,1455
ablations/module_size_ctrl,NO-FUT-1K,42,facebook/nllb-200-distilled-600M,900,17.030919780544817,27.50896326586167,26.66696723210858,91.63855421686748,1595.0365242958069,,1455
ablations/module_size_ctrl,NO-NEG-1K,123,facebook/nllb-200-distilled-600M,900,16.398498201500285,28.23448804514937,27.622808840323366,94.48192771084337,1562.6140060424805,,1455
ablations/module_size_ctrl,NO-NEG-1K,42,facebook/nllb-200-distilled-600M,900,19.720278115677612,28.60645771131662,28.040361040574375,81.95180722891567,1564.036878824234,,1455
ablations/module_size_ctrl,NO-NEG-1K,456,facebook/nllb-200-distilled-600M,900,17.452546834622158,28.30837602853839,27.759237760136816,92.1566265060241,1572.5092289447784,,1455
ablations/module_size_ctrl,NO-PAST-1K,123,facebook/nllb-200-distilled-600M,900,18.947123757823945,28.46932730767232,28.060058675451415,85.26506024096385,1616.2617890834808,,1455
ablations/module_size_ctrl,NO-PAST-1K,42,facebook/nllb-200-distilled-600M,900,17.88491365730327,28.08133370716648,27.681076224656888,91.7710843373494,1632.0038862228394,,1455
ablations/module_size_ctrl,NO-PAST-1K,456,facebook/nllb-200-distilled-600M,900,20.112831804509447,28.848833114374184,28.372056326115956,81.80722891566265,1634.785966873169,,1455
ablations/module_size_ctrl,NO-QUEST-1K,42,facebook/nllb-200-distilled-600M,900,18.76612815779997,28.328008431553535,27.22133684491611,83.06024096385542,1538.151968717575,,1455
ablations/module_size_ctrl,NO-QUEST-1K,456,facebook/nllb-200-distilled-600M,900,18.952746508742067,28.462988937263063,27.341947927250537,79.86746987951807,1614.04350399971,,1455
ablations/pronoun,ALL-8,123,facebook/nllb-200-distilled-600M,3823,22.66868646820363,30.3735153431997,30.07769343933102,81.16867469879519,2649.700850248337,,1455
ablations/pronoun,ALL-8,42,facebook/nllb-200-distilled-600M,3823,22.81655045594304,29.774560607033585,29.35995944271972,77.9277108433735,3690.578992843628,,1455
ablations/pronoun,ALL-8,456,facebook/nllb-200-distilled-600M,3823,23.21481320589791,30.014424917721893,29.72099388645148,78.53012048192771,5471.444893121719,,1455
ablations/pronoun,MINIMAL-1,123,facebook/nllb-200-distilled-600M,470,17.887024295738765,27.248450812759494,26.566202626943763,87.18072289156626,801.4465243816376,,1455
ablations/pronoun,MINIMAL-1,42,facebook/nllb-200-distilled-600M,470,13.291201676634447,26.626925740682804,25.840792424193886,111.7710843373494,798.0920977592468,,1455
ablations/pronoun,MINIMAL-1,456,facebook/nllb-200-distilled-600M,470,16.372549039166586,27.51984785085755,26.643436414449244,95.87951807228916,804.5240075588226,,1455
ablations/pronoun,REDUCED-4,123,facebook/nllb-200-distilled-600M,1941,22.315567654268662,29.649802983638295,29.382418751465984,80.16867469879519,2759.6549105644226,,1455
ablations/pronoun,REDUCED-4,42,facebook/nllb-200-distilled-600M,1941,13.5018820894284,27.50895847545667,27.120468624718324,123.6144578313253,2023.655032157898,,1455
ablations/pronoun,REDUCED-4,456,facebook/nllb-200-distilled-600M,1941,22.61238494027522,30.015339555053437,29.589166108256986,77.53012048192771,3696.7431070804596,,1455
ablations/pronoun,SINGULAR-3,123,facebook/nllb-200-distilled-600M,1463,16.85315939984606,28.60976609073946,28.22089207271516,103.43373493975902,2072.3066940307617,,1455
ablations/pronoun,SINGULAR-3,42,facebook/nllb-200-distilled-600M,1463,17.521313403746937,28.794919626314996,28.316162190426642,99.49397590361446,2298.220349550247,,1455
ablations/pronoun,SINGULAR-3,456,facebook/nllb-200-distilled-600M,1463,21.314705711061773,29.310425139614658,28.599734595132887,87.87951807228916,2688.948386192322,,1455
ablations/verb,1-VERB,123,facebook/nllb-200-distilled-600M,216,3.0830947543625737,13.372673437919685,12.603483554202072,114.38554216867469,351.2413957118988,,1455
ablations/verb,1-VERB,42,facebook/nllb-200-distilled-600M,216,2.9789446406194213,13.290208171689702,12.47008185621258,118.55421686746988,338.1742465496063,,1455
ablations/verb,1-VERB,456,facebook/nllb-200-distilled-600M,216,2.203647283480221,13.337583083067175,12.455514788997581,147.78313253012047,349.0650589466095,,1455
ablations/verb,10-VERBS,123,facebook/nllb-200-distilled-600M,3823,22.66868646820363,30.3735153431997,30.07769343933102,81.16867469879519,2602.243770837784,,1455
ablations/verb,10-VERBS,42,facebook/nllb-200-distilled-600M,3823,22.81655045594304,29.774560607033585,29.35995944271972,77.9277108433735,3534.2186682224274,,1455
ablations/verb,10-VERBS,456,facebook/nllb-200-distilled-600M,3823,23.21481320589791,30.014424917721893,29.72099388645148,78.53012048192771,5587.138280630112,,1455
ablations/verb,3-VERBS-a,123,facebook/nllb-200-distilled-600M,647,3.757758904041889,14.147236861327883,13.590022910008598,103.65060240963855,1075.3888139724731,,1455
ablations/verb,3-VERBS-a,42,facebook/nllb-200-distilled-600M,647,3.9029677717705518,12.765789195075394,12.266853196679078,95.72289156626506,1046.8801884651184,,1455
