"model","paper_recipe","april_recipe","paper_n","april_n","test_bleu_paper","test_bleu_paper_std","test_bleu_april","test_bleu_april_std","test_bleu_delta","test_chrf_paper","test_chrf_paper_std","test_chrf_april","test_chrf_april_std","test_chrf_delta","test_chrfpp_paper","test_chrfpp_paper_std","test_chrfpp_april","test_chrfpp_april_std","test_chrfpp_delta"
"NLLB-1.3B","baselines/STRUCT4K-ALL-BASELINES","april2026_runA/STRUCT4K-ALL-BASELINES-PLUS-NEW","0","5","","","21.8833","0.7991","","","","40.6103","0.8730","","","","38.6229","0.8053",""
"NLLB-600M","baselines/STRUCT4K-ALL-BASELINES","april2026_runA/STRUCT4K-ALL-BASELINES-PLUS-NEW","5","0","41.1004","9.9806","","","","55.6011","7.1488","","","","54.1142","7.2310","","",""
"mBART-50 (fr-init)","baselines/STRUCT4K-ALL-BASELINES","april2026_runA/STRUCT4K-ALL-BASELINES-PLUS-NEW","0","0","","","","","","","","","","","","","","",""
"mBART-50 (rand-init)","baselines/STRUCT4K-ALL-BASELINES","april2026_runA/STRUCT4K-ALL-BASELINES-PLUS-NEW","0","0","","","","","","","","","","","","","","",""
"NLLB-1.3B","exp1/RANDOM-10K_STRUCTURED-4K","april2026_runA/FULL","0","5","","","22.0830","1.6753","","","","42.0902","1.0485","","","","39.9956","0.9645",""
"NLLB-600M","exp1/RANDOM-10K_STRUCTURED-4K","april2026_runA/FULL","5","2","23.1566","1.1078","22.6642","0.7078","-0.4924","42.1808","0.7396","42.4119","0.0359","0.2311","40.0554","0.6656","40.3291","0.0527","0.2738"
"mBART-50 (fr-init)","exp1/RANDOM-10K_STRUCTURED-4K","april2026_runA/FULL","5","0","21.5187","0.4423","","","","37.9470","0.2877","","","","36.2335","0.3413","","",""
"mBART-50 (rand-init)","exp1/RANDOM-10K_STRUCTURED-4K","april2026_runA/FULL","5","0","21.3189","1.0190","","","","37.8861","0.6446","","","","36.0597","0.7330","","",""
